السنوات ع ج ع ج ع ج ع ج ع ج ع ج ع ج ع ج ع ج ع ج
- - - - - - - - 0 0 1 4 0 0 0 0 1 1 0 5 2001
- - - - - - - - 0 0 1 4 0 0 0 0 1 2 0 5 2002
- - - - - - - - 0 0 0 0 0 0 1 0 0 4 0 4 2003
- - - - - - - - 0 1 0 0 0 0 0 1 0 6 0 3 2004
- - - - - - - - 0 1 0 0 0 1 0 1 0 2 0 1 2005
- - - - - - 0 0 0 0 0 4 0 0 2 1 0 3 0 2 2006
- - - - - - 0 0 0 1 2 3 0 0 0 0 0 7 0 2 2007
- - - - 3 2 0 0 0 1 1 1 0 0 0 2 1 6 0 2 2008
- - - - 1 2 0 0 0 0 1 2 0 0 0 0 0 3 0 3 2009
- - - - 0 4 0 1 0 0 0 0 0 0 0 0 0 7 0 4 2010
- - 0 0 1 2 0 1 0 0 0 5 0 0 1 2 0 3 0 4 2011
0 0 0 0 5 7 0 0 0 0 1 3 0 0 1 1 0 3 0 5 2012
0 1 0 0 1 0 0 0 0 2 1 3 0 0 0 1 1 6 0 5 2013
0 0 0 1 0 0 0 1 0 1 1 1 1 0 0 1 0 5 0 3 2014
0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 4 2015
- - - - 0 2 - - - - - - 0 1 - - - - 0 5 2016
- - - - 0 1 - - - - - - 0 0 - - - - 0 3 2017
الإجمالي 0 1 0 1 12 20 0 3 0 8 9 30 1 3 5 10 4 59 0 60
