السنوات ب م ب م ب م ب م ب م ب م ب م ب م ب م ب م
- - - - - - - - 0 0 5 5 0 0 0 0 2 2 5 5 2001
- - - - - - - - 0 0 8 5 0 0 0 0 5 3 6 5 2002
- - - - - - - - 0 0 0 0 0 0 1 1 5 4 5 4 2003
- - - - - - - - 1 1 0 0 0 0 1 1 8 6 6 3 2004
- - - - - - - - 3 1 0 0 2 1 1 1 3 2 1 1 2005
- - - - - - 0 0 0 0 5 4 0 0 4 3 6 3 2 2 2006
- - - - - - 0 0 1 1 8 5 0 0 0 0 14 7 2 2 2007
- - - - 6 5 0 0 1 1 2 2 0 0 2 2 10 7 2 2 2008
- - - - 4 3 0 0 0 0 3 3 0 0 0 0 4 3 3 3 2009
- - - - 4 4 1 1 0 0 0 0 0 0 0 0 13 7 5 4 2010
- - 0 0 4 3 1 1 0 0 6 5 0 0 3 3 6 3 4 4 2011
0 0 0 0 17 12 0 0 0 0 4 4 0 0 4 2 4 3 7 5 2012
1 1 0 0 1 1 0 0 2 2 5 4 0 0 1 1 9 7 7 5 2013
0 0 1 1 0 0 1 1 3 1 3 2 2 1 1 1 8 5 5 3 2014
0 0 0 0 2 1 0 0 1 1 0 0 2 1 0 0 2 1 6 4 2015
0 0 0 0 5 2 0 0 0 0 0 0 2 1 0 0 0 0 6 5 2016
0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2017
