السنوات ف م ف م ف م ف م ف م ف م ف م ف م ف م ف م
- - - - - - - - 0 0 0 5 0 0 0 0 0 2 0 5 2001
- - - - - - - - 0 0 3 2 0 0 0 0 2 1 1 4 2002
- - - - - - - - 0 0 0 0 0 0 0 1 1 3 1 3 2003
- - - - - - - - 0 1 0 0 0 0 0 1 2 4 2 1 2004
- - - - - - - - 1 0 0 0 1 0 0 1 1 1 0 1 2005
- - - - - - 0 0 0 0 1 3 0 0 1 2 3 0 0 2 2006
- - - - - - 0 0 0 1 3 2 0 0 0 0 6 1 0 2 2007
- - - - 1 4 0 0 0 1 0 2 0 0 0 2 3 4 0 2 2008
- - - - 1 2 0 0 0 0 0 3 0 0 0 0 1 2 0 3 2009
- - - - 0 4 0 1 0 0 0 0 0 0 0 0 5 2 1 3 2010
- - 0 0 1 2 0 1 0 0 1 4 0 0 0 3 3 0 0 4 2011
0 0 0 0 5 7 0 0 0 0 0 4 0 0 1 1 1 2 2 3 2012
0 1 0 0 0 1 0 0 0 2 1 3 0 0 0 1 2 5 2 3 2013
0 0 0 1 0 0 0 1 1 0 1 1 1 0 0 1 3 2 2 1 2014
0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 2 2 2015
0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 1 4 2016
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2017
